"date","Strike","Close"
2015-09-18,"360",8.25
2015-09-18,"365",10.125
2015-09-18,"370",12.25
2015-09-18,"375",14.625
2015-09-18,"380",17.375
2015-09-18,"385",20.25
2015-09-18,"390",23.375
2015-09-18,"395",26.875
2015-09-18,"400",30.5
2015-09-18,"410",38.25
2015-09-18,"415",42.375
2015-09-18,"420",46.5
2015-09-18,"430",55.375
2015-09-18,"440",64.625
2015-09-18,"450",74.125
2015-09-18,"460",83.75
2015-09-18,"490",113.125
2015-09-18,"290",0.125
2015-09-17,"300",0.375
2015-09-17,"310",0.625
2015-09-17,"320",1
2015-09-17,"325",1.375
2015-09-17,"330",1.875
2015-09-17,"335",2.375
2015-09-17,"340",3.125
2015-09-17,"345",4
2015-09-17,"350",5
2015-09-17,"355",6.25
2015-09-17,"360",7.75
2015-09-17,"365",9.5
2015-09-17,"370",11.5
2015-09-17,"375",13.75
2015-09-17,"380",16.25
2015-09-17,"385",19
2015-09-17,"390",21.625
2015-09-17,"395",25.375
2015-09-17,"400",29.625
2015-09-17,"410",36.625
2015-09-17,"420",44.75
2015-09-17,"430",53.375
2015-09-17,"440",62.5
2015-09-17,"450",71.875
2015-09-17,"460",81.375
2015-09-17,"490",110.625
2015-09-15,"300",0.125
2015-09-15,"310",0.375
2015-09-15,"320",0.75
2015-09-15,"325",1
2015-09-15,"330",1.25
2015-09-15,"335",1.625
2015-09-15,"340",2.125
2015-09-15,"345",2.625
2015-09-15,"350",3.375
2015-09-15,"355",4.25
2015-09-15,"360",5.375
2015-09-15,"365",6.625
2015-09-15,"370",8.125
2015-09-15,"375",10
2015-09-15,"380",12
2015-09-15,"385",14.375
2015-09-15,"390",16.75
2015-09-15,"395",19.625
2015-09-15,"400",22
2015-09-15,"405",25.875
2015-09-15,"410",29.25
2015-09-15,"415",32.875
2015-09-15,"420",36.75
2015-09-15,"430",44.75
2015-09-15,"440",53.25
2015-09-15,"450",62.25
2015-09-15,"460",71.5
2015-09-15,"470",81
2015-09-15,"475",85.75
2015-09-15,"490",100.25
2015-09-15,"500",110
2015-09-10,"305",0.75
2015-09-10,"310",1
2015-09-10,"320",1.875
2015-09-10,"325",2.375
2015-09-10,"330",3.125
2015-09-10,"335",3.875
2015-09-10,"340",5
2015-09-10,"345",6.25
2015-09-10,"350",7.75
2015-09-10,"355",9.5
2015-09-10,"360",11.375
2015-09-10,"365",13.625
2015-09-10,"370",16
2015-09-10,"375",18.625
2015-09-10,"380",21.5
2015-09-10,"385",24.5
2015-09-10,"390",27.75
2015-09-10,"395",31.25
2015-09-10,"400",35
2015-09-10,"405",38.75
2015-09-10,"410",42.75
2015-09-10,"420",51
2015-09-10,"430",59.75
2015-09-10,"440",68.75
2015-09-10,"450",78
2015-09-10,"460",87.5
2015-09-10,"480",106.875
2015-09-09,"300",0.875
2015-09-09,"310",1.375
2015-09-09,"315",1.875
2015-09-09,"320",2.375
2015-09-09,"325",3
2015-09-09,"330",3.875
2015-09-09,"335",5
2015-09-09,"340",6.125
2015-09-09,"345",7.625
2015-09-09,"350",9.375
2015-09-09,"355",11.375
2015-09-09,"360",13.5
2015-09-09,"365",16
2015-09-09,"370",18.625
2015-09-09,"375",21.5
2015-09-09,"380",24.625
2015-09-09,"385",28
2015-09-09,"390",31.5
2015-09-09,"400",38.875
2015-09-09,"410",47
2015-09-09,"420",55.5
2015-09-09,"430",64.5
2015-09-09,"440",73.625
2015-09-09,"450",83
2015-09-09,"460",92.625
2015-09-09,"470",102.25
2015-09-09,"490",121.875
2015-09-09,"500",131.625
2015-09-08,"270",0.125
2015-09-08,"280",0.25
2015-09-08,"290",0.5
2015-09-08,"300",0.875
2015-09-08,"310",1.5
2015-09-08,"320",2.5
2015-09-08,"325",3.25
2015-09-08,"330",4.125
2015-09-08,"335",5.125
2015-09-08,"340",6.375
2015-09-08,"345",8
2015-09-08,"350",9.75
2015-09-08,"355",11.75
2015-09-08,"360",14
2015-09-08,"365",16.5
2015-09-08,"370",19.125
2015-09-08,"375",22
2015-09-08,"380",25.125
2015-09-08,"385",28.5
2015-09-08,"390",32
2015-09-08,"395",35.625
2015-09-08,"400",39.5
2015-09-08,"405",43.5
2015-09-08,"410",47.75
2015-09-08,"420",56.25
2015-09-08,"430",65.25
2015-09-08,"440",74.375
2015-09-08,"450",83.875
2015-09-08,"470",103
2015-09-04,"300",1
2015-09-04,"310",1.625
2015-09-04,"320",2.875
2015-09-04,"325",3.625
2015-09-04,"330",4.625
2015-09-04,"335",5.875
2015-09-04,"340",7.375
2015-09-04,"345",9.125
2015-09-04,"350",11
2015-09-04,"355",13.25
2015-09-04,"360",15.625
2015-09-04,"365",18.375
2015-09-04,"370",21.25
2015-09-04,"375",24.5
2015-09-04,"380",27.875
2015-09-04,"385",31.375
2015-09-04,"390",35.125
2015-09-04,"395",39
2015-09-04,"400",43
2015-09-04,"410",51.625
2015-09-04,"420",60.375
2015-09-04,"425",65
2015-09-04,"430",69.625
2015-09-04,"435",74.25
2015-09-04,"440",79
2015-09-04,"450",88.5
2015-09-04,"460",98.125
2015-09-04,"470",107.875
2015-09-04,"480",117.625
2015-09-04,"290",0.5
2015-09-03,"300",1.125
2015-09-03,"310",2
2015-09-03,"320",3.375
2015-09-03,"325",4.25
2015-09-03,"330",5.375
2015-09-03,"335",6.625
2015-09-03,"340",8.25
2015-09-03,"345",10
2015-09-03,"350",12
2015-09-03,"355",14.375
2015-09-03,"360",16.875
2015-09-03,"365",19.625
2015-09-03,"370",22.625
2015-09-03,"375",25.875
2015-09-03,"380",29.25
2015-09-03,"385",32.875
2015-09-03,"390",36.625
2015-09-03,"395",40.5
2015-09-03,"400",44.625
2015-09-03,"410",53.125
2015-09-03,"420",62
2015-09-03,"425",66.5
2015-09-03,"430",71.125
2015-09-03,"435",75.75
2015-09-03,"440",80.5
2015-09-03,"450",90.125
2015-09-03,"460",99.75
2015-09-03,"470",109.375
2015-09-02,"300",1
2015-09-02,"310",1.75
2015-09-02,"320",3
2015-09-02,"325",3.875
2015-09-02,"330",4.875
2015-09-02,"335",6
2015-09-02,"340",7.375
2015-09-02,"350",10.625
2015-09-02,"355",12.625
2015-09-02,"360",15
2015-09-02,"365",17.5
2015-09-02,"370",20.25
2015-09-02,"375",23.25
2015-09-02,"380",26.375
2015-09-02,"385",29.75
2015-09-02,"390",33.25
2015-09-02,"395",37
2015-09-02,"400",40.875
2015-09-02,"410",48.875
2015-09-02,"420",57.375
2015-09-02,"430",66.25
2015-09-02,"440",75.375
2015-09-02,"450",84.75
2015-09-02,"460",94.25
2015-09-01,"300",1
2015-09-01,"305",1.25
2015-09-01,"310",1.625
2015-09-01,"320",2.75
2015-09-01,"325",3.5
2015-09-01,"330",4.375
2015-09-01,"335",5.5
2015-09-01,"340",6.75
2015-09-01,"345",8.25
2015-09-01,"350",10
2015-09-01,"355",12
2015-09-01,"360",14.25
2015-09-01,"365",16.625
2015-09-01,"370",19.25
2015-09-01,"375",22.125
2015-09-01,"380",25.25
2015-09-01,"385",28.5
2015-09-01,"390",32
2015-09-01,"395",35.625
2015-09-01,"400",39.5
2015-09-01,"410",47.5
2015-09-01,"420",56
2015-09-01,"430",64.875
2015-09-01,"440",74
2015-09-01,"450",83.375
2015-08-31,"300",0.75
2015-08-31,"310",1.25
2015-08-31,"320",2.375
2015-08-31,"325",2.875
2015-08-31,"330",3.875
2015-08-31,"335",4.5
2015-08-31,"340",5.5
2015-08-31,"350",8.25
2015-08-31,"360",12.25
2015-08-31,"365",15.125
2015-08-31,"370",16.5
2015-08-31,"375",20.75
2015-08-31,"380",22.875
2015-08-31,"385",26.875
2015-08-31,"390",30.125
2015-08-31,"395",33.875
2015-08-31,"400",36
2015-08-31,"410",45.5
2015-08-31,"420",53.5
2015-08-31,"430",61
2015-08-31,"450",82
2015-08-31,"470",98.5
2015-08-31,"480",108
